Id,Label,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,componentnumber,Authority,Hub,pageranks
kesebangunan,,6,6,5,0.338747,0.364802,3.945707,3,0,0.025297,0.025297,0.001276
saintifik,,8,8,5,0.340591,0.370053,17.432246,3,0,0.030364,0.030364,0.001612
teorema pythagoras,,5,5,5,0.365915,0.390753,1.260454,3,0,0.032648,0.032648,0.001112
pemanasan global,,7,7,5,0.390027,0.417199,45.336944,1,0,0.039858,0.039858,0.001513
komik digital,,5,5,5,0.362883,0.386758,4.834368,3,0,0.023836,0.023836,0.001147
peninggalan sejarah,,6,6,5,0.348449,0.375228,15.458637,0,0,0.02525,0.02525,0.001367
momentum dan impuls,,7,7,5,0.367758,0.395586,42.182333,3,0,0.036269,0.036269,0.001475
identitas diri,,7,7,5,0.356968,0.382116,290.405374,2,0,0.021456,0.021456,0.001642
fasilitas belajar,,6,6,4,0.345699,0.365677,7.839457,5,0,0.014207,0.014207,0.001456
kesejahteraan,,5,5,4,0.330317,0.350837,210.166143,5,0,0.007915,0.007915,0.001495
kewirausahaan,,4,4,4,0.35209,0.374049,12.885224,0,0,0.017861,0.017861,0.000995
lingkungan keluarga,,11,11,4,0.344882,0.369863,347.377246,5,0,0.013317,0.013317,0.002781
panti asuhan,,3,3,5,0.298162,0.314155,10.801328,5,0,0.002928,0.002928,0.001004
partisipasi,,4,4,5,0.342455,0.361568,229.989101,5,0,0.012769,0.012769,0.001191
lingkungan hidup,,4,4,5,0.282581,0.297451,29.915851,2,0,0.001648,0.001648,0.001395
keterampilan proses,,6,6,5,0.357551,0.381545,128.015549,0,0,0.023477,0.023477,0.001409
keyakinan,,8,8,4,0.339009,0.36054,56.505587,5,0,0.011681,0.01168,0.001888
lingkungan sosial,,2,2,5,0.322296,0.337633,381.67574,5,0,0.006112,0.006112,0.001
penyesuaian diri,,2,2,5,0.249573,0.258371,10.453815,5,0,0.000277,0.000277,0.001154
engklek,,6,6,5,0.326866,0.350038,28.579211,0,0,0.010436,0.010436,0.001414
spltv,,6,6,5,0.354369,0.382192,1.940316,0,0,0.031559,0.031559,0.001271
sistem imun,,6,6,5,0.345154,0.369292,17.287469,1,0,0.023721,0.023721,0.001358
virus,,5,5,5,0.32711,0.348478,23.133255,0,0,0.015858,0.015858,0.001182
experiential learning,,5,5,5,0.331818,0.350799,30.58722,2,0,0.008952,0.008952,0.0014
